Epoch,Train Total Loss,Train MLM Loss,Train Edge Loss,Val Total Loss,Val MLM Loss,Val Edge Loss,Learning Rate
0,3.8048295107754795,3.059627728028731,0.7452018098397688,3.875012159347534,3.1417893171310425,0.7332227230072021,4.4e-07
1,3.7153573252938012,2.97980074449019,0.7355565916408192,3.8366570472717285,3.1154311895370483,0.7212257981300354,8.8e-07
2,3.516843644055453,2.8044760443947534,0.7123676267537203,3.678580641746521,2.9853936433792114,0.6931869387626648,1.32e-06
3,3.5130023089322178,2.827572389082475,0.6854298873381182,3.317908525466919,2.6613389253616333,0.656569629907608,1.76e-06
4,3.292419910430908,2.6495485956018623,0.642871314829046,3.172465682029724,2.5570199489593506,0.6154457032680511,2.2e-06
5,3.029402559453791,2.4340954693880947,0.595307090065696,2.8684743642807007,2.3181207180023193,0.5503536462783813,2.64e-06
6,2.677483255212957,2.1363156492059883,0.5411676276813854,2.4997339248657227,1.9855998754501343,0.514134019613266,3.08e-06
7,2.340722755952315,1.852340362288735,0.4883823936635798,1.9390259385108948,1.4876712560653687,0.4513546824455261,3.52e-06
