Epoch,Train Loss,Val Loss,Learning Rate
0,1.6377997211579365,0.7081822924694773,0.00018703674745895233
1,0.7113053241423685,0.6263625424797252,0.00016625488663017982
2,0.6542457096822465,0.5894245457346157,0.00014547302580140736
3,0.7240866575364873,0.6081334807104983,0.00012469116497263485
4,0.6081053080686148,0.5491717485553127,0.0001039093041438624
5,0.5416762091953832,0.5151561026350927,8.312744331508991e-05
6,0.5071708699695323,0.5016577162985074,6.234558248631743e-05
7,0.4841737682609472,0.4862231531385648,4.1563721657544956e-05
8,0.4711070083378848,0.47746138249413445,2.0781860828772478e-05
9,0.46397121637454153,0.4745487853632135,0.0
